objectid,filename,title,format,description,physical dimensions,publisher,creation date,subject,location,rights,rightsstatement,language,filedate,filesize
postcard001,ValentinesDay.jpg,valentine's day ,image/jpeg,"Pictures a little girl jumping rope in front of a red heart. With text ""Come, let's play a game, dear, Tell me when to start See if I can skip dear, Right into your heart. From your little sweet heart."" ",4 x 5 in.,Filson's,1910,Valentine's Day; Postcards; Jump rope,,"The postcards being made before 1929 are believed to be public-domain and copyright-free under the laws of the United States, but a determination was not made as to their copyright status under the copyright laws of other countries.",https://rightsstatements.org/page/NoC-US/1.0/?language=en,eng,04-22-2026,1200 x 1200 px
postcard002,BlueChristmas.jpg,happy christmas to you,image/jpeg,"Pictures a blue snowy mountain setting with a cabin among the trees. With text saying ""Happy Christmas to You.""",5 x 2 in.,,12-23-1917,Christmas; Greetings,"Le Mars, IA","The postcards being made before 1929 are believed to be public-domain and copyright-free under the laws of the United States, but a determination was not made as to their copyright status under the copyright laws of other countries.",https://rightsstatements.org/page/NoC-US/1.0/?language=en,eng,04-22-2026,1200 x 1200 px
postcard003,AnOldTimeGift.jpg,an old-time gift,image/jpeg,"Pictures red flowers with green stems and text that reads ""An Old-Time Gift"" ""Something new is hard to do, And often hard to say; So I'll just send to you, dear friend, The same old love today.""",4.25 x 5.5 in. ,The J. Raymond Howe Company ,1915,Greetings; Friendship,"Chicago, IL","The postcards being made before 1929 are believed to be public-domain and copyright-free under the laws of the United States, but a determination was not made as to their copyright status under the copyright laws of other countries.",https://rightsstatements.org/page/NoC-US/1.0/?language=en,eng,04-22-2026,1200 x 1200 px
postcard004,ForgetMeNot.jpg,forget me not,image/jpeg,"Pictures white and red flowers that have been embroidered onto the card along with the text ""Forget me not."" ",5.5 x 3.5 in. ,,12-12-1916,Greetings; Friendship,"New York, NY","The postcards being made before 1929 are believed to be public-domain and copyright-free under the laws of the United States, but a determination was not made as to their copyright status under the copyright laws of other countries.",https://rightsstatements.org/page/NoC-US/1.0/?language=en,eng,04-22-2026,1200 x 1200 px
postcard005,ChristmasGreetings.jpg,christmas greetings,image/jpeg,"Shows text that reads ""Christmas is with us once again and so I send you Hearty Greetings and all Loving Good Wishes, and may the pleasures you have experienced in those gone by be increased a hundred-fold in those that are to come.""",4.5 x 2.5 in.,B. B. London and New York ,12-22-1917,Christmas; Greetings,,"The postcards being made before 1929 are believed to be public-domain and copyright-free under the laws of the United States, but a determination was not made as to their copyright status under the copyright laws of other countries.",https://rightsstatements.org/page/NoC-US/1.0/?language=en,eng,04-22-2026,1200 x 1200 px
postcard006,ChristmasRosesAndHolly.jpg,christmas roses and holly,image/jpeg,"Depicts red roses and holly along with text that reads ""A Bunch of Christmas Roses And a Tiny Holly Wreath"" ""With a load of happy wishes In the greeting underneath- Merry Christmas""",5.25 x 3.25 in. ,The A.M. Davis CO. ,1917,Christmas; Greetings; Roses; Holly ,"Boston, MA","The postcards being made before 1929 are believed to be public-domain and copyright-free under the laws of the United States, but a determination was not made as to their copyright status under the copyright laws of other countries.",https://rightsstatements.org/page/NoC-US/1.0/?language=en,eng,04-22-2026,1200 x 1200 px
postcard007,CupidsAdvertisement.jpg,cupid's advertisement ,image/jpeg,"Depicts a man and woman kissing framed by a blue heart with text that reads ""Cupid's advertisement. It does not matter, may it rain or shine. Love me and the world is mine. If we could alway do this. Those Happy moments.""",5.5 x 3.5 in. ,D. Hillson,1907,Valentine's Day; Postcards; Cupid,,"The postcards being made before 1929 are believed to be public-domain and copyright-free under the laws of the United States, but a determination was not made as to their copyright status under the copyright laws of other countries.",https://rightsstatements.org/page/NoC-US/1.0/?language=en,eng,04-22-2026,1200 x 1200 px
postcard008,Suggestions.jpg,suggestions,image/jpeg,"Depicts text that reads ""Suggestions. Love, be true to her; Life be dear to her; Health, stay close to her; Joy, draw near to her; Fortune, find what your gifts can do for her. Search your treasure-house through and through for her; Follow her steps the wide world over; you must! for here is the ",3.5 x 5.5 in. ,D. Hillson,1907,Greetings; Friendship; Postcards,,"The postcards being made before 1929 are believed to be public-domain and copyright-free under the laws of the United States, but a determination was not made as to their copyright status under the copyright laws of other countries.",https://rightsstatements.org/page/NoC-US/1.0/?language=en,eng,04-22-2026,1200 x 1200 px
postcard009,Holland.jpg,a bit of holland,image/jpeg,"Depicts a beautiful sunset with green grass, homes, a woman by a shore, and a windmill in the distance. ",5.5 x 3.5 in. ,B.A. Crane,1903,Holland (Netherlands : Province); Sunset; Greetings; Postcards,"New York, NY","The postcards being made before 1929 are believed to be public-domain and copyright-free under the laws of the United States, but a determination was not made as to their copyright status under the copyright laws of other countries.",https://rightsstatements.org/page/NoC-US/1.0/?language=en,eng,04-22-2026,1200 x 1200 px
postcard010,Cat.jpg,hair of the cat,image/jpeg,"Depicts a cat who appears to be sick surrounded by what appears to be wine bottles. Text that reads ""The Cold Grey Dawn of The Morning After."" Which may allude to being hungover. ",3.5 x 5.5 in. ,,04-10-1909,Cat; Wine; Humor,,"The postcards being made before 1929 are believed to be public-domain and copyright-free under the laws of the United States, but a determination was not made as to their copyright status under the copyright laws of other countries.",https://rightsstatements.org/page/NoC-US/1.0/?language=en,eng,04-22-2026,1200 x 1200 px
postcard011,WomanInBlue.jpg,woman in blue,image/jpeg,Depicts a woman with curly brown hair standing with a blue sweater and white skirt holding ice skates over her shoulder.,3.5 x 5.5 in. ,J.I. Austen Co. ,03-07-1908,Postcards; Greetings,"Chicago, IL","The postcards being made before 1929 are believed to be public-domain and copyright-free under the laws of the United States, but a determination was not made as to their copyright status under the copyright laws of other countries.",https://rightsstatements.org/page/NoC-US/1.0/?language=en,eng,04-22-2026,1200 x 1200 px
postcard012,CuddlingDogs.jpg,cuddling dogs ,image/jpeg,Depicts two dogs laying down together on the floor.,5.5 x 3.5 in. ,Suhling & Koehn Co. ,09-19-1907,Postcards; Greetings; Dogs,"Chicago, IL","The postcards being made before 1929 are believed to be public-domain and copyright-free under the laws of the United States, but a determination was not made as to their copyright status under the copyright laws of other countries.",https://rightsstatements.org/page/NoC-US/1.0/?language=en,eng,04-22-2026,1200 x 1200 px
postcard013,LeapYear1908.jpg,leap year 1908,image/jpeg,"Depicts a man and woman sitting at a table above the words ""Were it would not be right, you know, for me to fall upon my knee; They'll not hear if I whisper, though: Become my darling husband- please!""",3.5 x 5.5 in. ,I. Grollman,1906,Leap Year; Betrothal,,"The postcards being made before 1929 are believed to be public-domain and copyright-free under the laws of the United States, but a determination was not made as to their copyright status under the copyright laws of other countries.",https://rightsstatements.org/page/NoC-US/1.0/?language=en,eng,04-22-2026,1200 x 1200 px
postcard014,Beach.jpg,"a ""hot"" bath",image/jpeg,Depicts three children playing in the water and on the beach. One child appears to have a crab pinching their toe.  ,5.5 x 3.5 in. ,V. O. H. P. Co. ,1906,Children; Beach; Humor; Sea life,,"The postcards being made before 1929 are believed to be public-domain and copyright-free under the laws of the United States, but a determination was not made as to their copyright status under the copyright laws of other countries.",https://rightsstatements.org/page/NoC-US/1.0/?language=en,eng,04-22-2026,1200 x 1200 px
postcard015,Easter.jpg,easter blessings ,image/jpeg,"Pictures a woman wearing a purple skirt standing in a patch of yellow, pink, and orange tulips with the text ""To tell you that I pray Easter Blessings upon you.""",2.25 x 5 in. ,,04-08-1915,Woman; Tulips; Easter,"Hysham, MT","The postcards being made before 1929 are believed to be public-domain and copyright-free under the laws of the United States, but a determination was not made as to their copyright status under the copyright laws of other countries.",https://rightsstatements.org/page/NoC-US/1.0/?language=en,eng,04-22-2026,1200 x 1200 px